seed,n_dealers,risk_factor,reluctance,volume_share,mean_faced_spread,max_dealer_net,mean_dealer_net
15,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
16,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
17,2,0.2,0.0,0.5833333333333334,0.17333333333333334,2.0,1.5
18,2,0.2,0.0,0.75,0.15666666666666668,2.0,1.5
19,2,0.2,0.0,1.0,0.12333333333333335,1.0,1.0
20,2,0.2,0.0,0.6666666666666666,0.22333333333333333,2.0,2.0
21,2,0.2,0.0,0.8333333333333334,0.17333333333333334,2.0,2.0
22,2,0.2,0.0,1.0,0.12333333333333335,1.0,1.0
23,2,0.2,0.0,1.0,0.12333333333333335,1.0,1.0
24,2,0.2,0.0,0.5833333333333334,0.17333333333333334,2.0,1.5
25,2,0.2,0.0,1.0,0.12333333333333335,1.0,1.0
26,2,0.2,0.0,0.8333333333333334,0.17333333333333334,2.0,2.0
27,2,0.2,0.0,0.5,0.17333333333333334,1.0,1.0
28,2,0.2,0.0,0.8333333333333334,0.17333333333333334,2.0,2.0
29,2,0.2,0.0,0.6666666666666666,0.22333333333333333,2.0,2.0
30,2,0.2,0.0,0.8333333333333334,0.19,2.0,2.0
31,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
32,2,0.2,0.0,0.3333333333333333,0.19,1.0,1.0
33,2,0.2,0.0,0.6666666666666666,0.22333333333333333,2.0,2.0
34,2,0.2,0.0,0.3333333333333333,0.19,1.0,1.0
35,2,0.2,0.0,0.6666666666666666,0.19,2.0,2.0
36,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
37,2,0.2,0.0,0.5833333333333334,0.17333333333333334,2.0,1.5
38,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
39,2,0.2,0.0,1.0,0.12333333333333335,1.0,1.0
40,2,0.2,0.0,0.8333333333333334,0.19,2.0,2.0
41,2,0.2,0.0,0.5833333333333334,0.17333333333333334,2.0,1.5
42,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
43,2,0.2,0.0,1.0,0.12333333333333335,1.0,1.0
44,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
45,2,0.2,0.0,0.6666666666666666,0.15666666666666668,1.0,1.0
46,2,0.2,0.0,0.6666666666666666,0.15666666666666668,1.0,1.0
47,2,0.2,0.0,0.8333333333333334,0.14,1.0,1.0
