seed,beta,buffer_frac,ruined,ruin_epoch,basket_pnl,otc_pnl,net_pnl,min_basket,max_basket
77,1.0,0.05,0.0,0,8.169245626362038,-8.169245626362036,1.7763568394002505e-15,3.068123666352127,4.316924562636204
78,1.0,0.05,1.0,3,-4.75,10.92454665462872,6.17454665462872,2.407545334537128,3.5
79,1.0,0.05,1.0,5,-4.75,2.5059801008517324,-2.2440198991482676,2.877623064782571,3.5
80,1.0,0.05,0.0,0,-5.703524985465567,5.703524985465567,0.0,2.9296475014534433,3.7006015605614424
81,1.0,0.05,0.0,0,-0.5732324030072533,0.5732324030072533,0.0,3.3585868082355455,4.210133737462312
82,1.0,0.05,0.0,0,-3.178551550910239,3.178551550910238,-8.881784197001252e-16,3.1621794955955096,3.7556945033493956
83,1.0,0.05,1.0,3,-4.75,11.488683685272942,6.738683685272942,2.3511316314727058,3.5463788158083513
84,1.0,0.05,0.0,0,8.797386020672551,-8.797386020672553,-1.7763568394002505e-15,3.5,4.6294056745889804
85,1.0,0.05,1.0,2,-4.75,0.4685156066981744,-4.281484393301826,3.0171149325593043,3.5
86,1.0,0.05,0.0,0,10.429582564074309,-10.429582564074309,0.0,3.240853428456446,4.542958256407431
87,1.0,0.05,1.0,2,-4.75,2.70078631843913,-2.04921368156087,2.7898506561853784,3.5
88,1.0,0.05,0.0,0,3.1155181216484102,-3.115518121648413,-2.6645352591003757e-15,3.3133046464973948,4.272363834872235
89,1.0,0.05,1.0,4,-4.75,7.314613740629405,2.5646137406294054,2.7685386259370595,3.5
90,1.0,0.05,0.0,0,23.56390606170214,-23.56390606170215,-7.105427357601002e-15,3.5,5.856390606170215
91,1.0,0.05,1.0,1,-4.75,9.978015967147265,5.228015967147265,2.5021984032852735,3.5
92,1.0,0.05,1.0,4,-4.75,1.1923395629912026,-3.5576604370087974,2.9591487436502564,3.6081409088438217
93,1.0,0.05,0.0,0,2.654080312514761,-2.6540803125147594,1.7763568394002505e-15,3.5,4.0492414612482195
94,1.0,0.05,1.0,3,-4.75,1.032913664376447,-3.717086335623553,2.975717351435244,3.5
95,1.0,0.05,1.0,5,-4.75,8.470346681102757,3.7203466811027575,2.4891047924907608,3.6850585195693952
96,1.0,0.05,1.0,2,-4.75,4.620931860596493,-0.1290681394035067,2.4855280612335062,3.5
97,1.0,0.05,0.0,0,7.501006116918187,-7.501006116918187,0.0,3.309488779613591,4.936887818748696
98,1.0,0.05,1.0,5,-4.75,9.845899800678929,5.095899800678929,2.515410019932107,3.5
99,1.0,0.05,0.0,0,-2.7715996750118386,2.7715996750118377,-8.881784197001252e-16,3.2228400324988162,3.8152665341857865
100,1.0,0.05,0.0,0,-1.9587186573444484,1.9587186573444493,8.881784197001252e-16,3.289166082374588,3.860022933365032
101,1.0,0.05,0.0,0,6.915908987436097,-6.915908987436099,-1.7763568394002505e-15,3.5,4.702641144962653
102,1.0,0.05,0.0,0,4.629320180657203,-4.629320180657204,-8.881784197001252e-16,3.5,3.997447509874264
103,1.0,0.05,1.0,2,-4.75,13.551112729641911,8.801112729641911,2.144888727035809,3.5
104,1.0,0.05,1.0,3,-4.75,8.451816089268128,3.701816089268128,2.5291729777271676,3.82750690305334
105,1.0,0.05,1.0,5,-4.75,7.034527616554493,2.2845276165544934,2.7965472383445507,3.7903570917701064
106,1.0,0.05,1.0,1,-4.75,10.826069044117395,6.076069044117395,2.316964875085244,3.5
107,1.0,0.05,1.0,4,-4.75,5.18734337132138,0.4373433713213801,2.913641267077968,4.192378942781568
108,1.0,0.05,0.0,0,0.869737015852305,-0.8697370158523077,-2.6645352591003757e-15,3.5,4.071943444882125
