seed,liquidity,spot,hedged_qty,unhedged_rev,hedged_rev
13,1.0,2.6986805503124818,100.0,269.86805503124816,338.1837555845039
14,1.0,3.8296099929682366,100.0,382.9609992968237,338.1837555845179
15,1.0,3.2961758675448705,100.0,329.61758675448704,338.18375558448946
16,1.0,2.837044860895655,100.0,283.7044860895655,338.1837555844938
17,1.0,4.0259582960002955,100.0,402.59582960002956,338.18375558449554
18,1.0,3.465174418122088,100.0,346.5174418122088,338.1837555845023
19,1.0,4.917316566972579,100.0,491.73165669725785,338.18375558449696
20,1.0,4.23237359180038,100.0,423.237359180038,338.1837555845079
21,1.0,3.642837709673359,100.0,364.2837709673359,338.1837555845005
22,1.0,3.1354194735378487,100.0,313.54194735378485,338.1837555845203
23,1.0,4.449372026124917,100.0,444.93720261249166,338.1837555844983
24,1.0,3.8296099929682366,100.0,382.9609992968237,338.1837555845179
25,1.0,3.2961758675448705,100.0,329.61758675448704,338.18375558448946
26,1.0,2.837044860895655,100.0,283.7044860895655,338.1837555844938
27,1.0,4.0259582960002955,100.0,402.59582960002956,338.18375558449554
28,1.0,3.465174418122088,100.0,346.5174418122088,338.1837555845023
29,1.0,4.917316566972579,100.0,491.73165669725785,338.18375558449696
30,1.0,4.23237359180038,100.0,423.237359180038,338.1837555845079
31,1.0,6.006024017647005,100.0,600.6024017647005,338.1837555844986
32,1.0,5.169432778589249,100.0,516.9432778589248,338.1837555845118
33,1.0,4.449372026124917,100.0,444.93720261249166,338.1837555844983
34,1.0,3.8296099929682366,100.0,382.9609992968237,338.1837555845179
35,1.0,5.4344752647896755,100.0,543.4475264789676,338.18375558451453
36,1.0,2.837044860895655,100.0,283.7044860895655,338.1837555844938
37,1.0,4.0259582960002955,100.0,402.59582960002956,338.18375558449554
38,1.0,2.1017345258429305,100.0,210.17345258429305,338.18375558448497
39,1.0,2.9825032613817397,100.0,298.250326138174,338.18375558449276
40,1.0,2.5670643467850125,100.0,256.70643467850124,338.18375558449435
41,1.0,6.006024017647005,100.0,600.6024017647005,338.1837555844986
42,1.0,3.1354194735378487,100.0,313.54194735378485,338.1837555845203
43,1.0,4.449372026124917,100.0,444.93720261249166,338.1837555844983
44,1.0,3.8296099929682357,100.0,382.96099929682356,338.18375558451777
45,1.0,5.4344752647896755,100.0,543.4475264789676,338.18375558451453
46,1.0,2.837044860895655,100.0,283.7044860895655,338.1837555844938
47,1.0,4.025958296000295,100.0,402.59582960002945,338.18375558449543
48,1.0,3.465174418122088,100.0,346.5174418122088,338.1837555845023
49,1.0,4.917316566972579,100.0,491.73165669725785,338.18375558449696
50,1.0,2.5670643467850125,100.0,256.70643467850124,338.18375558449435
51,1.0,3.642837709673359,100.0,364.2837709673359,338.1837555845005
52,1.0,3.1354194735378487,100.0,313.54194735378485,338.1837555845203
53,1.0,4.449372026124917,100.0,444.93720261249166,338.1837555844983
54,1.0,3.8296099929682366,100.0,382.9609992968237,338.1837555845179
55,1.0,3.2961758675448705,100.0,329.61758675448704,338.18375558448946
56,1.0,4.677496208089153,100.0,467.74962080891527,338.18375558448423
57,1.0,4.025958296000295,100.0,402.59582960002945,338.18375558449543
58,1.0,3.465174418122088,100.0,346.5174418122088,338.1837555845023
59,1.0,2.9825032613817397,100.0,298.250326138174,338.18375558449276
60,1.0,2.5670643467850125,100.0,256.70643467850124,338.18375558449435
61,1.0,2.209492759274241,100.0,220.94927592742408,338.1837555844928
62,1.0,3.1354194735378487,100.0,313.54194735378485,338.1837555845203
63,1.0,1.6368324945346824,100.0,163.68324945346825,338.18375558449037
64,1.0,2.322775875477118,100.0,232.2775875477118,338.1837555845149
65,1.0,3.2961758675448705,100.0,329.61758675448704,338.18375558448946
66,1.0,4.677496208089153,100.0,467.74962080891527,338.18375558448423
67,1.0,2.4418671412486086,100.0,244.18671412486086,338.18375558450725
68,1.0,3.465174418122088,100.0,346.5174418122088,338.1837555845023
69,1.0,2.9825032613817397,100.0,298.250326138174,338.18375558449276
70,1.0,4.23237359180038,100.0,423.237359180038,338.1837555845079
71,1.0,2.209492759274241,100.0,220.94927592742408,338.1837555844928
72,1.0,3.1354194735378487,100.0,313.54194735378485,338.1837555845203
73,1.0,2.6986805503124818,100.0,269.86805503124816,338.1837555845039
74,1.0,3.8296099929682366,100.0,382.9609992968237,338.1837555845179
75,1.0,1.999231723470852,100.0,199.9231723470852,338.1837555845099
76,1.0,2.837044860895655,100.0,283.7044860895655,338.1837555844938
77,1.0,4.025958296000295,100.0,402.59582960002945,338.18375558449543
78,1.0,5.713106769843826,100.0,571.3106769843826,338.18375558449316
79,1.0,2.9825032613817397,100.0,298.250326138174,338.18375558449276
80,1.0,4.23237359180038,100.0,423.237359180038,338.1837555845079
81,1.0,3.642837709673359,100.0,364.2837709673359,338.1837555845005
82,1.0,5.1694327785892495,100.0,516.943277858925,338.1837555845119
83,1.0,2.6986805503124818,100.0,269.86805503124816,338.1837555845039
84,1.0,3.8296099929682357,100.0,382.96099929682356,338.18375558451777
85,1.0,1.999231723470852,100.0,199.9231723470852,338.1837555845099
86,1.0,4.677496208089153,100.0,467.74962080891527,338.18375558448423
87,1.0,2.4418671412486086,100.0,244.18671412486086,338.18375558450725
88,1.0,2.1017345258429305,100.0,210.17345258429305,338.18375558448497
89,1.0,2.9825032613817397,100.0,298.250326138174,338.18375558449276
90,1.0,4.23237359180038,100.0,423.237359180038,338.1837555845079
91,1.0,3.642837709673359,100.0,364.2837709673359,338.1837555845005
92,1.0,3.1354194735378487,100.0,313.54194735378485,338.1837555845203
93,1.0,2.6986805503124818,100.0,269.86805503124816,338.1837555845039
94,1.0,3.8296099929682366,100.0,382.9609992968237,338.1837555845179
95,1.0,3.2961758675448705,100.0,329.61758675448704,338.18375558448946
96,1.0,2.837044860895655,100.0,283.7044860895655,338.1837555844938
97,1.0,2.4418671412486086,100.0,244.18671412486086,338.18375558450725
98,1.0,3.465174418122088,100.0,346.5174418122088,338.1837555845023
99,1.0,2.9825032613817397,100.0,298.250326138174,338.18375558449276
0,2.0,2.5670643467850125,100.0,256.70643467850124,346.81823445048605
1,2.0,3.642837709673359,100.0,364.2837709673359,346.8182344504922
2,2.0,3.1354194735378487,100.0,313.54194735378485,346.81823445049747
3,2.0,4.449372026124917,100.0,444.93720261249166,346.8182344504754
4,2.0,2.322775875477118,100.0,232.2775875477118,346.81823445049207
5,2.0,5.4344752647896755,100.0,543.4475264789676,346.8182344504917
6,2.0,4.677496208089153,100.0,467.74962080891527,346.8182344504905
7,2.0,6.637683077567331,100.0,663.7683077567331,346.81823445048803
8,2.0,3.465174418122088,100.0,346.5174418122088,346.81823445047945
9,2.0,2.9825032613817397,100.0,298.250326138174,346.81823445048445
10,2.0,4.23237359180038,100.0,423.237359180038,346.8182344504996
11,2.0,3.642837709673359,100.0,364.2837709673359,346.8182344504922
12,2.0,3.1354194735378482,100.0,313.54194735378485,346.81823445049747
13,2.0,2.6986805503124818,100.0,269.86805503124816,346.8182344504956
14,2.0,3.8296099929682366,100.0,382.9609992968237,346.818234450495
15,2.0,3.2961758675448705,100.0,329.61758675448704,346.8182344504957
16,2.0,2.837044860895655,100.0,283.7044860895655,346.8182344504855
17,2.0,4.0259582960002955,100.0,402.59582960002956,346.8182344504727
18,2.0,3.465174418122088,100.0,346.5174418122088,346.81823445047945
19,2.0,4.917316566972579,100.0,491.73165669725785,346.81823445048866
20,2.0,4.23237359180038,100.0,423.237359180038,346.8182344504996
21,2.0,3.642837709673359,100.0,364.2837709673359,346.8182344504922
22,2.0,3.1354194735378487,100.0,313.54194735378485,346.81823445049747
23,2.0,4.449372026124917,100.0,444.93720261249166,346.8182344504754
24,2.0,3.8296099929682366,100.0,382.9609992968237,346.818234450495
25,2.0,3.2961758675448705,100.0,329.61758675448704,346.8182344504957
26,2.0,2.837044860895655,100.0,283.7044860895655,346.8182344504855
27,2.0,4.0259582960002955,100.0,402.59582960002956,346.8182344504727
28,2.0,3.465174418122088,100.0,346.5174418122088,346.81823445047945
29,2.0,4.917316566972579,100.0,491.73165669725785,346.81823445048866
30,2.0,4.23237359180038,100.0,423.237359180038,346.8182344504996
31,2.0,6.006024017647005,100.0,600.6024017647005,346.81823445047576
32,2.0,5.169432778589249,100.0,516.9432778589248,346.81823445048894
33,2.0,4.449372026124917,100.0,444.93720261249166,346.8182344504754
34,2.0,3.8296099929682366,100.0,382.9609992968237,346.818234450495
35,2.0,5.4344752647896755,100.0,543.4475264789676,346.8182344504917
