seed,hedge_ratio,spot,unhedged_cost,net_cost,long_pnl
31,0.25,6.006024017647005,600.6024017647005,540.394289510893,60.208112253807485
32,0.25,5.169432778589249,516.9432778589248,477.6499465815609,39.293331277363905
33,0.25,4.449372026124917,444.93720261249166,423.6453901467363,21.291812465755356
34,0.25,3.8296099929682366,382.9609992968237,377.16323765998567,5.797761636838004
35,0.25,5.4344752647896755,543.4475264789676,497.52813304659367,45.91939343237391
36,0.25,2.837044860895655,283.7044860895655,302.72085275454145,-19.016366664975976
37,0.25,4.0259582960002955,402.59582960002956,391.88936038738996,10.706469212639604
38,0.25,2.1017345258429305,210.17345258429305,247.57257762558766,-37.39912504129461
39,0.25,2.9825032613817397,298.250326138174,313.6302327909985,-15.379906652824502
40,0.25,2.5670643467850125,256.70643467850124,282.4723141962434,-25.765879517742178
41,0.25,6.006024017647005,600.6024017647005,540.394289510893,60.208112253807485
42,0.25,3.1354194735378487,313.54194735378485,325.09894870270625,-11.557001348921403
43,0.25,4.449372026124917,444.93720261249166,423.6453901467363,21.291812465755356
44,0.25,3.8296099929682357,382.96099929682356,377.16323765998555,5.797761636838004
45,0.25,5.4344752647896755,543.4475264789676,497.52813304659367,45.91939343237391
46,0.25,2.837044860895655,283.7044860895655,302.72085275454145,-19.016366664975976
47,0.25,4.025958296000295,402.59582960002945,391.88936038738984,10.706469212639604
48,0.25,3.465174418122088,346.5174418122088,349.83056954652426,-3.313127734315458
49,0.25,4.917316566972579,491.73165669725785,458.7412307103106,32.99042598694723
50,0.25,2.5670643467850125,256.70643467850124,282.4723141962434,-25.765879517742178
51,0.25,3.642837709673359,364.2837709673359,363.1553164128691,1.1284545544667708
52,0.25,3.1354194735378487,313.54194735378485,325.09894870270625,-11.557001348921403
53,0.25,4.449372026124917,444.93720261249166,423.6453901467363,21.291812465755356
54,0.25,3.8296099929682366,382.9609992968237,377.16323765998567,5.797761636838004
55,0.25,3.2961758675448705,329.61758675448704,337.15567825323245,-7.538091498745416
56,0.25,4.677496208089153,467.74962080891527,440.75470379405414,26.99491701486113
57,0.25,4.025958296000295,402.59582960002945,391.88936038738984,10.706469212639604
58,0.25,3.465174418122088,346.5174418122088,349.83056954652426,-3.313127734315458
59,0.25,2.9825032613817397,298.250326138174,313.6302327909985,-15.379906652824502
60,0.25,2.5670643467850125,256.70643467850124,282.4723141962434,-25.765879517742178
61,0.25,2.209492759274241,220.94927592742408,255.65444513293608,-34.70516920551199
62,0.25,3.1354194735378487,313.54194735378485,325.09894870270625,-11.557001348921403
63,0.25,1.6368324945346824,163.68324945346825,212.7049252774686,-49.02167582400034
64,0.25,2.322775875477118,232.2775875477118,264.150678848151,-31.873091300439228
65,0.25,3.2961758675448705,329.61758675448704,337.15567825323245,-7.538091498745416
66,0.25,4.677496208089153,467.74962080891527,440.75470379405414,26.99491701486113
67,0.25,2.4418671412486086,244.18671412486086,273.0825237810136,-28.895809656152778
68,0.25,3.465174418122088,346.5174418122088,349.83056954652426,-3.313127734315458
69,0.25,2.9825032613817397,298.250326138174,313.6302327909985,-15.379906652824502
70,0.25,4.23237359180038,423.237359180038,407.37050757239575,15.866851607642275
71,0.25,2.209492759274241,220.94927592742408,255.65444513293608,-34.70516920551199
72,0.25,3.1354194735378487,313.54194735378485,325.09894870270625,-11.557001348921403
73,0.25,2.6986805503124818,269.86805503124816,292.34352946080327,-22.475474429555106
74,0.25,3.8296099929682366,382.9609992968237,377.16323765998567,5.797761636838004
75,0.25,1.999231723470852,199.9231723470852,239.88486744768164,-39.961695100596444
76,0.25,2.837044860895655,283.7044860895655,302.72085275454145,-19.016366664975976
77,0.25,4.025958296000295,402.59582960002945,391.88936038738984,10.706469212639604
78,0.25,5.713106769843826,571.3106769843826,518.4254959256541,52.88518105872845
79,0.25,2.9825032613817397,298.250326138174,313.6302327909985,-15.379906652824502
80,0.25,4.23237359180038,423.237359180038,407.37050757239575,15.866851607642275
81,0.25,3.642837709673359,364.2837709673359,363.1553164128691,1.1284545544667708
82,0.25,5.1694327785892495,516.943277858925,477.64994658156104,39.293331277363905
83,0.25,2.6986805503124818,269.86805503124816,292.34352946080327,-22.475474429555106
84,0.25,3.8296099929682357,382.96099929682356,377.16323765998555,5.797761636838004
85,0.25,1.999231723470852,199.9231723470852,239.88486744768164,-39.961695100596444
86,0.25,4.677496208089153,467.74962080891527,440.75470379405414,26.99491701486113
87,0.25,2.4418671412486086,244.18671412486086,273.0825237810136,-28.895809656152778
88,0.25,2.1017345258429305,210.17345258429305,247.57257762558766,-37.39912504129461
89,0.25,2.9825032613817397,298.250326138174,313.6302327909985,-15.379906652824502
90,0.25,4.23237359180038,423.237359180038,407.37050757239575,15.866851607642275
91,0.25,3.642837709673359,364.2837709673359,363.1553164128691,1.1284545544667708
92,0.25,3.1354194735378487,313.54194735378485,325.09894870270625,-11.557001348921403
93,0.25,2.6986805503124818,269.86805503124816,292.34352946080327,-22.475474429555106
