seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
40,0.45,0.2025,2.8829199094325304,2.5670643467850125,2.845621705235555,2,2
41,0.45,0.2025,-5.2938202124787495,6.006024017647005,5.210827569310156,2,2
42,0.45,0.2025,3.4560870880959556,3.1354194735378487,3.0440647944077064,2,2
43,0.45,0.2025,-5.353246286860667,4.449372026124917,4.516276780562611,2,2
44,0.45,0.2025,8.771992607158609,3.8296099929682357,2.8248599762435376,2,2
45,0.45,0.2025,-10.570390958921053,5.4344752647896755,5.481287705171136,2,2
46,0.45,0.2025,-1.3278655258473009,2.837044860895655,3.3881914801181168,2,2
47,0.45,0.2025,12.096904662437737,4.025958296000295,2.5807255070822515,2,2
48,0.45,0.2025,12.635048780823126,3.465174418122088,2.2745583501952336,2,2
49,0.45,0.2025,14.548180921352468,4.917316566972579,2.7367091031264605,2,2
50,0.45,0.2025,-7.876922681112774,2.5670643467850125,3.9216059642843004,2,2
51,0.45,0.2025,-13.014532232889906,3.642837709673359,4.919464932762134,2,2
52,0.45,0.2025,3.2873543654568493,3.1354194735378487,3.060938066673592,2,2
53,0.45,0.2025,-0.8637792461086065,4.449372026124917,4.06733007649189,2,2
54,0.45,0.2025,-16.673024011892267,3.8296099929682366,5.369361638148456,2,2
55,0.45,0.2025,-5.8754720544675365,3.2961758675448705,4.049561085968822,2,2
56,0.45,0.2025,-0.17814466648269445,4.677496208089153,4.101422500410913,2,2
57,0.45,0.2025,10.565985895111226,4.025958296000295,2.733817383821118,2,2
58,0.45,0.2025,3.7761923887301236,3.465174418122088,3.1604439893998695,2,2
59,0.45,0.2025,2.543623305624351,2.9825032613817397,3.0664988771783515,2,2
60,0.45,0.2025,8.410700198379345,2.5670643467850125,2.2928436763437086,2,2
61,0.45,0.2025,1.6269689782056957,2.209492759274241,2.81030958397416,2,2
62,0.45,0.2025,0.4742290364811197,3.1354194735378487,3.342250599570921,2,2
63,0.45,0.2025,10.51499630860053,1.6368324945346824,1.6638097318071718,2,2
64,0.45,0.2025,-2.646573767182417,2.322775875477118,3.2886412607974393,2,2
65,0.45,0.2025,-7.141086302814074,3.2961758675448705,4.176122510804282,2,2
66,0.45,0.2025,12.575383691699244,4.677496208089153,2.826069664591183,2,2
67,0.45,0.2025,0.06788046495057642,2.4418671412486086,3.0707869071923097,2,2
68,0.45,0.2025,-0.24003534007351846,3.465174418122088,3.5620667622824267,2,2
69,0.45,0.2025,1.2880355378147215,2.9825032613817397,3.192057653962652,2,2
70,0.45,0.2025,5.745229130727239,4.23237359180038,3.3087799433533522,2,2
71,0.45,0.2025,-1.2687467050272971,2.209492759274241,3.0998811522999774,2,2
72,0.45,0.2025,6.480404607136734,3.1354194735378487,2.7416330425061957,2,2
73,0.45,0.2025,-19.517305061453953,2.6986805503124818,5.144871493908547,2,2
74,0.45,0.2025,11.362211435800418,3.8296099929682366,2.5658380933743583,2,2
75,0.45,0.2025,-11.769091582624242,1.999231723470852,4.05529817394792,2,2
76,0.45,0.2025,4.902344396454282,2.837044860895655,2.765170487885822,2,2
77,0.45,0.2025,11.049676884431392,4.025958296000295,2.6854482848890657,2,2
78,0.45,0.2025,6.707040270441212,5.713106769843826,3.878928759496957,2,2
79,0.45,0.2025,14.51884227420669,2.9825032613817397,1.8689769803277376,2,2
80,0.45,0.2025,2.8394426531158388,4.23237359180038,3.59935859111755,2,2
