seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
6,0.45,0.2025,9.105660343891941,4.677496208089153,3.1730419993664274,2,2
7,0.45,0.2025,6.467407455900684,6.637683077567331,4.318951379430258,2,2
8,0.45,0.2025,2.100818314240314,3.465174418122088,3.327981396847322,2,2
9,0.45,0.2025,-2.3521051473217085,2.9825032613817397,3.5560717224780394,2,2
10,0.45,0.2025,13.319405823247507,4.23237359180038,2.551362274098296,2,2
11,0.45,0.2025,5.398326487629674,3.642837709673359,3.078179060710944,2,2
12,0.45,0.2025,0.8255650356877595,3.1354194735378482,3.3071169996414174,2,2
13,0.45,0.2025,-16.544322868459858,2.6986805503124818,4.8475732746157405,2,2
14,0.45,0.2025,6.495161614846438,3.8296099929682366,3.0525430754683494,2,2
15,0.45,0.2025,-2.2234730408526957,3.2961758675448705,3.684361184607775,2,2
16,0.45,0.2025,15.510159240337089,2.837044860895655,1.7043890034947768,2,2
17,0.45,0.2025,1.3209701903397217,4.0259582960002955,3.658318954297164,2,2
18,0.45,0.2025,-0.7380250891437754,3.465174418122088,3.6118657371918577,2,2
19,0.45,0.2025,-8.609478979487903,4.917316566972579,5.052475093208179,2,2
20,0.45,0.2025,-4.562090953695588,4.23237359180038,4.339511951799115,2,2
21,0.45,0.2025,-8.067056377767585,3.642837709673359,4.424717347245255,2,2
22,0.45,0.2025,1.4006601229775697,3.1354194735378487,3.2496074909170174,2,2
23,0.45,0.2025,-0.7489497215719894,4.449372026124917,4.055847124034351,2,2
24,0.45,0.2025,-15.067718471749686,3.8296099929682366,5.20883108413388,2,2
25,0.45,0.2025,5.707717451150529,3.2961758675448705,2.891242135405507,2,2
26,0.45,0.2025,9.65524388558697,2.837044860895655,2.289880538969957,2,2
27,0.45,0.2025,4.942123711807653,4.0259582960002955,3.2962036021503,2,2
28,0.45,0.2025,-24.082219060626812,3.465174418122088,5.946285134341736,2,2
29,0.45,0.2025,-14.000098544172943,4.917316566972579,5.59153704967047,2,2
30,0.45,0.2025,-6.846428186632693,4.23237359180038,4.567945675089394,2,2
31,0.45,0.2025,-6.85032556427177,6.006024017647005,5.366478104488515,2,2
32,0.45,0.2025,2.7716490492457524,5.169432778589249,4.027814585557868,2,2
33,0.45,0.2025,6.816312622861005,4.449372026124917,3.2993208895968986,2,2
34,0.45,0.2025,6.847357531660236,3.8296099929682366,3.017323483783669,2,2
35,0.45,0.2025,4.13853986596223,5.4344752647896755,4.010394622687804,2,2
36,0.45,0.2025,-5.13219617633149,2.837044860895655,3.7686245451672273,2,2
37,0.45,0.2025,12.479444421478547,4.0259582960002955,2.5424715311759485,2,2
38,0.45,0.2025,2.785008474253118,2.1017345258429305,2.6460144293333956,2,2
39,0.45,0.2025,-22.05039467359893,2.9825032613817397,5.525900675100239,2,2
