seed,beta,reluctance,r_i,volume_share,willing_clear_frac,risk_hedged_frac,net_imbalance,gross_intermediated,clearing_spread_pct,residual_risk,dealer_pnl,spot_I,spot_S
34,0.95,0.5,0.9025,0.6860194085351283,1.0,0.6775858311737866,4.835946816108647,13.989864185724137,2.22635243335087,1.4970322244765915,2.278373902178223,3.8296099929682366,3.578594723025546
35,0.95,0.5,0.9025,0.7367361365245386,1.0,0.7223517428032523,4.73048530748377,13.873934294418016,2.148108152871008,1.4643851994250632,1.7567377769681896,5.4344752647896755,5.197931288853171
36,0.95,0.5,0.9025,0.6845954656503537,1.0,0.656432985626111,3.3134592006869976,13.775750907270554,1.0614324347542174,1.0257257547568204,-0.06853913934908062,2.837044860895655,3.054526250545723
37,0.95,0.5,0.9025,0.7716484449039476,1.0,0.7428795215986083,6.573340319428162,16.357126613281498,3.518111507867584,2.034865695349725,4.938597972241854,4.0259582960002955,3.5681981377743206
38,0.95,0.5,0.9025,0.7376195920909754,1.0,0.7324385846578294,8.954959131288232,14.626148352356786,7.301996544709902,2.7721277545390204,4.7143674396685835,2.1017345258429305,2.079154185678356
39,0.95,0.5,0.9025,0.8488313488235709,1.0,0.8516417304166181,5.711563009960331,18.379329567276987,2.3638758303006138,1.76809096608705,-2.8405316131557266,2.9825032613817397,3.7842612126148953
40,0.95,0.5,0.9025,0.4626839084517086,0.701539432341793,0.5260968197108224,9.573781575082998,9.573781575082998,12.750519970656113,2.963692545223705,5.356793949149136,2.5670643467850125,2.5177940152073646
41,0.95,0.5,0.9025,0.6918083808868449,0.9505063758078821,0.6786345474874914,8.260249497892776,12.60431167848122,7.209606765079838,2.557071066077715,1.7403349833370068,6.006024017647005,6.070707678504711
42,0.95,0.5,0.9025,0.6410506034187138,1.0,0.6841860118246034,1.7819775411393932,13.820671296033371,0.3059987801860956,0.5516350579979784,0.3674902005848494,3.1354194735378487,3.037690436967674
43,0.95,0.5,0.9025,0.8029032090815641,1.0,0.8085138186044354,3.2750646724616064,16.013710112039476,0.8920561245776515,1.013840213376273,-0.0990831964833413,4.449372026124917,4.593966135656893
