seed,beta,reluctance,K,r_i,volume_share,willing_clear_frac,residual_risk,sum_Dk2,clearing_spread_pct,dealer_pnl,spot_I,spot_S0
31,0.2,1.0,1,0.04000000000000001,0.05871545732857725,0.13975374692391335,1.157213879340323,1.4192581100080381,15.622181909897455,-0.22581788512344925,6.006024017647005,4.830955272688612
32,0.2,1.0,1,0.04000000000000001,0.07719557564857843,0.1669926751769383,1.5540302439051699,2.5594877195247836,20.979132377506847,1.6940074521504003,5.169432778589249,3.607951717171615
33,0.2,1.0,1,0.04000000000000001,0.0860598992720225,0.10677711168876429,1.6532169420203948,2.8966352498172077,22.318135191646476,2.639382209007901,4.449372026124917,3.020174946559589
34,0.2,1.0,1,0.04000000000000001,0.053151772447472455,0.1151519106643341,1.0528773636051592,1.1748696750135184,14.2136574722293,1.3685822862631691,3.8296099929682366,2.892816414309568
35,0.2,1.0,1,0.04000000000000001,0.05229422393972552,0.10586569503618379,0.9565866706001542,0.9698013109870824,12.913750212897263,0.9046847559065514,5.4344752647896755,3.5109903163106133
36,0.2,1.0,1,0.04000000000000001,0.05390532526403996,0.12694656097544604,1.0536487964906303,1.1765919366281432,14.224071679216667,-0.055694421270542915,2.837044860895655,4.008653025106755
37,0.2,1.0,1,0.04000000000000001,0.06833583030491822,0.1263435579951812,1.4070805091540322,2.0983214074567784,18.995337049021742,2.973297676140369,4.0259582960002955,2.3141555959861577
38,0.2,1.0,1,0.04000000000000001,0.058180808901667394,0.09784600164104375,1.1206247941636214,1.3309280286942882,15.128235756336792,0.9804121039787652,2.1017345258429305,2.9929463229326934
39,0.2,1.0,1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.9825032613817397,5.893943074417379
40,0.2,1.0,1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.5670643467850125,3.07526982855442
41,0.2,1.0,1,0.04000000000000001,0.04187755651480775,0.06880785871953089,0.7411354549008478,0.5821424864926106,10.005197053923895,-0.168512540221541,6.006024017647005,4.660181611643047
42,0.2,1.0,1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.1354194735378487,3.1260551995898065
43,0.2,1.0,1,0.04000000000000001,0.06106274669445762,0.12627880333082722,1.1830089924767884,1.4832358321558263,15.970411357364817,-0.015552066656253083,4.449372026124917,4.3553712090911505
44,0.2,1.0,1,0.04000000000000001,0.05673920552734108,0.12886307181974443,1.226506132645164,1.5943129181272668,16.557615026800615,1.9673797706295981,3.8296099929682357,2.681653004157229
45,0.2,1.0,1,0.04000000000000001,0.08240375567805666,0.13965774119112856,1.566868831006834,2.601952714129983,21.152451023911777,-0.6431906463423398,5.4344752647896755,5.124796503449245
46,0.2,1.0,1,0.04000000000000001,0.05840817640298259,0.11305682276724681,1.2263115121049122,1.5938069908998564,16.554987684061736,0.5679943416964874,2.837044860895655,3.591256790479126
47,0.2,1.0,1,0.04000000000000001,0.06122686113405167,0.12162140444606183,1.217793577802408,1.5717427861755668,16.439997083321504,2.4054414208003325,4.025958296000295,2.356126357651592
48,0.2,1.0,1,0.04000000000000001,0.08168710617137184,0.14097186233954417,1.6727964271162572,2.9656527736607146,22.58245476413903,3.7864258465937346,3.465174418122088,2.184926520536128
49,0.2,1.0,1,0.04000000000000001,0.06664172891145664,0.16053615433718946,1.3854855950549259,2.0344084285350874,18.703809542821112,3.2364444328979203,4.917316566972579,2.2654535970437415
50,0.2,1.0,1,0.04000000000000001,0.07574141403734583,0.1359375115486542,1.569261508108447,2.6099053722743215,21.18475173996813,-0.16488215547616325,2.5670643467850125,4.255797546847173
51,0.2,1.0,1,0.04000000000000001,0.08273166578253859,0.13090342860085147,1.726360245653159,3.158617011917754,23.305556804229692,-1.047581284435622,3.642837709673359,5.0346305846645745
52,0.2,1.0,1,0.04000000000000001,0.069083720229552,0.15556730381759648,1.3712845852199869,1.9929174280222417,18.51209843141262,1.449379109873767,3.1354194735378487,3.1445678919834554
53,0.2,1.0,1,0.04000000000000001,0.059852463533571716,0.09346242591959406,1.132762213614536,1.3599145610266425,15.292088763947628,0.5310581772875451,4.449372026124917,3.862804497510987
54,0.2,1.0,1,0.04000000000000001,0.04960546376335589,0.08802841118003936,0.9608289926445622,0.9784222390552347,12.97102080728029,-1.3478588944964902,3.8296099929682366,5.473380407099326
55,0.2,1.0,1,0.04000000000000001,0.05529579463955266,0.07866974128947629,1.067788046550644,1.2083819418441448,14.414949044629001,-0.13853718821149574,3.2961758675448705,4.182028539918623
56,0.2,1.0,1,0.04000000000000001,0.06077146220931479,0.17392739190834303,1.3478512070053283,1.9253869357495237,18.195751986067958,0.8812306625057156,4.677496208089153,3.833204197561131
57,0.2,1.0,1,0.04000000000000001,0.06896411100465423,0.15116236570640917,1.506079867732091,2.4039759763819886,20.331810812671424,2.9315408564059497,4.025958296000295,2.5240927590332154
